Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
98039,B0002MLA5K,A1PZ7S1L36QRKJ,Marcella Y Giffen,0,2,1,1340928000,Close call!,"I took my 10 year old cat in to the vet today for his yearly check up.  Turns out my cat is the picture of health, but needs to drop about 2 pounds.  The vet recommended I switch my cat over to this cat food. I checked it out at the store, but after reading the ingredients I thought this can't be right.  First, its labeled for cats up to 6 years old, second it appears to be jammed will fillers, and third, its rather pricey.  I'm glad I came home and started researching this product and reading about others experiences with this food, and I'm definitely not feeding this stuff to my cat!"
373810,B004WTHCO2,A1CXB89TV5KW3U,abmama,3,5,1,1297641600,"buy a baby brezza instead, save money and time and health","from reading all the reviews about black gunk and mold i have decided to forgo this product and i have lucked up on the baby brezza. it's a wonderful machine and it cooks and steams without having to do 2 steps. simply put the food in chopped, press the steam and puree button 1, 2, 3, or 4 times depending on how long you want the food to steam, and it purees or chops the food for you. you can also use the steam only or puree only button. save steps, and money, this product is only $99 and has adorable useful tools to buy separately for under $8. the website for the product is great, with instructional videos as well.<br /> i'm really glad i found this before i spent the $$ on something that might disappoint me in the long run. i hope they offer the baby brezza on amazon soon. i hate that i can't support amazon's great service by buying from them."
60696,B003QNJYXM,A30UZHA2QAVSMY,JP,6,13,1,1253577600,Placebo,"My girlfriend and I decided to try 5-hour energy because we both like Red Bull but didn't like the ""crashing"" effect it can have after a little while. First off, Amazon's price is absolutely ridiculous. You should be able to get a 24 pack of this stuff for around $33 (at Sam's, etc.). Secondly, this stuff tastes gross (we had the berry flavored...more like vomit berry favor). Thirdly and MOST importantly: it didn't do anything except make us actually more tired. We couldn't stop yawning about 20 minutes after shooting our drinks down. I've read the negative reviews that other people have written...believe them and save your money! The positive reviews I am convinced are by people who are affected by the placebo effect. They think they should be more awake, so they ""feel"" more energized..."
319567,B0007LXU9A,AF4171OIS1TC7,"R. Singavarapu ""virgodoc""",1,6,1,1178928000,Great stuff but bad quality,Looks like Amazon is selling old stuff. Kashi makes great Bars but just don't buy them from Amazon
188734,B000HDONP8,A2HOA352TOCY91,Grace,3,4,1,1274054400,Tasted too grainy,"Didn't like it that it felt like I was eating dirt with a bit of flavor..I didn't even finish the pack...for something GF that's sweet, I'll just stick to EnviroKidz Crispy Rice, Schar's hazelnut bars, or Mi-Del arrowroot cookies.."
270541,B000FI2VHM,A1285MVEAFW7D2,Couch Potato,0,12,1,1259712000,Aerogarden refill kit,"Shipping was fast.  Grow tablets were sealed in celephane and, obviously, are giving off moisture as it is collecting in each separate pouch.  Doubt they will last the year they are supposed to.  Also, I am not ""couch potato as it says in the title."
503621,B0094Z2IDE,A1G1MBGO5VAVBT,rmtbigmouth,0,0,1,1350691200,Sweet but packaging was a REAL bummer!,"These jelly beans are my favorite. The problem was that little care was taken in packing. When the package arrived, I was so excited that I opened the package in the parking lot of my office. The inner packaging was broken and I wound up with nearly the full pound on the lot! Try Superior Nut thru Amazon instead; they packed them right and it arrived perfect!"
545909,B0060M20VE,A2FRLA9WFZ26CN,Zena M Franklin,0,0,1,1345507200,Wrong K Cups!,"Item is described as having ""9 unique Bigelow k-cup flavors"".<br /><br />However mine is only 8 flavors (because they left out the I Love Lemon Tea).<br /><br />It also says that ""You will receive the following BIGELOW TEAS - 1-Bigelow Chai Green Tea... 2-Bigelow Cozy Chamomile Tea... 1-Bigelow Earl Grey... 2-Bigelow English Breakfast... 1-Bigelow Green Tea... 1-Bigelow Green Tea With Pomegranite ... 1-Bigelow I love Lemon Tea... 2- Bigelow Mint Medley Herb Tea... 1-Bigelow Orange & Spice Tea...""<br /><br />I have 2 green chai instead of 1, 2 green pomegranate instead of 1, and 1 mint instead of 2, and zero I Love Lemon instead of 1.<br /><br />The box got here quick, but if you are relying on their description to determine what to buy-this distributor is inaccurate."
115797,B001EO5XSU,A2W1BFPI1RVKSD,RickB,1,1,1,1296172800,Bought a box on speculation....,"I ordered a box of Wheatena along with a couple of other hot cereals that one just does not find in the major (or minor) supermarkets here in San Antonio.<br /><br />Wheatena was the first of the few that my girlfriend and I tried this morning.  We were both hoping that it would be along the lines of ""Ralston"", another wheat based hot cereal that I ordered, and my prime focus for making my first on-line food order...but, Wheatena has got to be an acquired taste because neither of us could finish our first bowl.<br /><br />I like the texture but do not like the taste.<br /><br />Imagine a very, very darkly toasted piece of plain wheat bread and you have an idea of how this cereal tasted to us...now, if you like your wheat bread toasted to almost blackness, then this may be the cereal for you...<br /><br />But for us, it was a no go.<br /><br />Sorry, but this is one hot cereal we will never buy again.  Good thing I was able to find an online retailer out of Houston that allowed single box purchases so I didn't have to waste more money than necessary by buying more than one box...in fact, I entered my online order on Tuesday evening and had it at my house on Thursday afternoon..."
24899,B0078Y6OX8,A3SSWICQCHTFOI,"TNPatti ""TNPatti""",0,0,1,1297209600,Way too weak,"Starbucks Caramel Brulee Latte (that's available around Christmas) is my favorite coffee ever.  I wasn't expecting this to be the same, but I hoped I could ""doctor"" it up.  It is actually very weak and with adding anything I just made it weaker.  I still have a whole box so I'll continue to try to tweek it, but unless a miracle happens, I wont' buy it again."
446425,B0009F3QLG,A3EP2MJDW9RPXQ,Janette Boone,1,1,1,1345161600,A Lovely Pepper Tea,If you are looking for a product that can bring you the raw intense power of black pepper then this is the tea for you!! While it was steeping I was actually thinking this stuff smells sweet and delicious... then I tasted it. It was packed with the pepper I was looking for! So again if you like ginger stay away from this tea but if you want a vile brew that tastes of nothing but ethnic pepper then by all means buy as much as you can drink!
510799,B000J43N4W,A2ERL0XYIB5BMM,Leonard Brault,23,27,1,1237334400,Amazon has this listed wrong - beware!,"The mini-milks usually sell 6 for about $3.25. This product that is listed for $18+ is supposed to be SIX packages of SIX mini-milks, which works out to be a little over $3 per sixpack, which is the correct price. But if you order it, they will ship only ONE six pack... making these mini-milks more expensive than the big milks (which sell at 13.5 ounce, six to a pack, for $14+)! It took me two hours talking to customer service to get this mistake corrected. The person who entered this in inventory misunderstood that it is a sixpack of sixpacks... so he/she entered it as one package of six. When I ordered this product last summer they had it listed right and the order was correct, but right now it is listed wrong."
304829,B001ICC3PY,ALXTJAOAN14K7,Let Biogons Be Biogons,2,3,1,1277337600,This product misses on many levels,"First there is no information on the label about how much curcumin is actually in the product.  How do you know how much you are getting?  Second, this has to be about the worst tasting drink I've ever had.  It is truly horrible.  If it tastes this bad, why bother putting it in a drink?  Third, all of the curcumin is on the bottom of the bottle.  It settles out quickly, if you don't keep shaking it and drink it quickly (hard when it tastes so bad) a lot of the curcumin is left on the bottom of the bottle.  I find it interesting that they say, ""Specifically formulated for excellent absorption"".  This is just marketing BS.  There is nothing in this product (read the ingredients) that does anything to increase the absorption of curcumin.  Curcumin typically has very low absorption, and this formulation really has nothing, and does nothing to improve it.  While I applaud the inclusion of beneficial curcumin in the drink, the execution of the Haldi drink is severely lacking.  Mystery amount of curcumin (why?), horrible taste and consistency, and the curcumin ingredient keeps coming out of the drink without constant agitation.  Much more pleasant, easier, and cheaper to just take a curcumin supplement capsule."
106237,B0000DJT3C,AM7QB3LAZMQUP,edna991,0,3,1,1328486400,Not much taste,The Candy Blocks were a nice visual for the Lego Birthday party but the candy has little taste to it.  Very little of the 2 lbs that I bought were eaten and I threw the rest away.  I would not buy the candy again.
281645,B007RTR9DS,A1KPALLWZ73M27,BeagleGrin,0,0,1,1342656000,I thought it was for balding men,"OK, I thought this was for balding men. You know, the guys with the bald patch at the top and the frizz around the edges?<br />My boyfriend has a balding issue, and his hair that does grow is coarse and frizzy, and his scalp gets so dry and irritated I thought this was a perfect product for him to try. I use a conditioning balm from biolage that I LOVE, and this, well, looked like it was for guys.<br />So, I handed it to my boyfriend and he said, ""Where are the instructions?"" and low and behold, THERE ARE NONE!<br />Then he gave me a strange look, opened it up, and said, ""It smells good, but I think I am the wrong color to use this."" Then it occurred to me, this is for...well, not white boyfriends of uninformed white girls.<br />He did rub some on his scalp, and all it made him was greasy. Maybe he is the wrong color to use this, but it came with NO instructions at all, and none in the description, so it is not MY fault."
57140,B000PUMIYG,AAXN5RO0QV4OD,"homecook ""homecook""",16,17,1,1193529600,Don't believe the hype,"Not only did it get to me after several weeks but the amount was so much smaller than anticipated as the jar was 3/4 filled. I can go to the most expensive gourmet food purveyor in Los Angeles and get better quality salt from Il de Re for far less money. Also, there are far better quality Il de Re versions of this salt. It is not white and flaky as it should be but grey with large crystals.  Poor quality, slow to send, expensive. Never again"
376231,B009AFH6Y4,A2WASYKJ4UHR4R,Shirley A. Borrego,2,3,1,1321660800,very unhappy,"I cannot get the oil out of bottle,iwill have to cut the top off the bottle.I have another brand that has a wide mouth jar now i know why.It is almost impossible to squeez out of container."
169790,B004JGQ16I,A37DXIENIDHTVY,D. Wortham,0,2,1,1300752000,Very sweet cookie,"In the mood for something extra, extra, extra sweet? You will enjoy this cookie then. Otherwise just buy when you have a big crowd. The first cookie isn't bad but all others after that just add up to an unpleasant eating experience.<br /><br />As far as taste is concerned, past the super sweetness, it does taste pretty good with plenty of chocolaty peanut butter flavor.<br /><br />But, wow, are they sweet! How did Nabisco pack so much sweet into such a small cookie?<br /><br />The cookie is about as thin as one side of the Oreo creme filled cookie. Kudos to Nabisco for actually covering the whole cookie with fudge and not just the front side. There is a thin layer of some sort of peanut butter creme on the top side of the cookie under the fudge coating. The PB seems to be where most of the awful sweetness is coming from.<br /><br />I'm not someone that reads every nutrition label for everything I buy and usually I just take it as a given that a treat like a cookie is not super healthy. But these little jewels are so sweet it will make you wonder exactly what you are eating.<br /><br />Dang. 3 cookies is 9g of fat and 170 calories (80 fat). Contrast that with the traditional Oreo: 15 cookies for 160 (60 fat) and 7g fat.<br /><br />I think it is worth mentioning since I couldn't find any nutritional information on the product page.<br /><br />I'm not a fan of the eat healthy band wagon but good Lord. Surely a warning label should be required on something that looks so innocuous. Maybe the outline of a hugely obese person and a fat playful exclamation mark.<br /><br />Let me also point out that if you buy this from Amazon you need to have someone available to get the package as soon as it arrives if it is moderately warm in your area when you purchase them. My shipping package was left out in the sun a while and some of the cookies that had come out of their slots were somewhat melted and stuck together. Nabisco did a great job with the tray they ride in but shipping may unseat them and then the heat will glue them together. I threw mine in the freezer for a bit to solidify the fudge before I opened them.<br /><br />Oh. I have to say that I like the resealable package. I guess I haven't bought that type of package before or if I have all the cookies were gone before they could be resealed. It works very well and is much easier than the usual zip lock type resealable package.<br /><br />1 star for an excessively sweet taste in an excessively sweet cookie that could be a poster child for bad industry."
515953,B000VDUN6C,ASNPNOKUYAKFP,Katherine Minton,0,0,1,1337472000,NOT Chew-eez,This product is NOT Chew-eez. It is a similar product but not the same. My dogs will not touch them.
350090,B000EMU2BG,A1TTZARTM117PQ,William J. Grace,2,3,1,1326240000,Still Not Twice as Good,I've bought this product from Amazon for almost two years for $20.19 shipped by Amazon as an Amazon Prime product.  Amazon no longer carries it directly and the reseller is charging $44 for the same package plus shipping(down this week from $49 last week).  The cocoa is not twice as good at these prices and I wish Amazon would find a reseller whose price is somewhat closer to the old amazon price. This is a very disappointing message from Amazon to its loyal customers.  W. Grace
